Comment,Designator,Footprint,LCSC
BOOT,"SW1,SW2",SW_T1A2QR,C100056
AO4404B,"Q1,Q2,Q3,Q4,Q5,Q6",SOIC-8_3.9x4.9mm_P1.27mm,C115829
HRO M-12,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
0R,"R10,R11,R12,R13,R14,R15,R34,R35",R_0402_1005Metric,C17168
ST1,"J1,J2,J3",TerminalBlock_Ningbo_Kangnex _WJ128V-5.0-6P_1x06_P5.00mm_Horizontal,C192771
500 mA,F1,Fuse_0603_1608Metric,C20789
4u7,"C19,C20,C22,C23,C6,C7,C8,C9",C_0402_1005Metric,C23733
SS14,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D5,D6,D8,D9",D_SMA,C2480
100,"R16,R17,R18,R19,R20,R21",R_0402_1005Metric,C25076
10k,"R1,R23,R25,R27,R29,R3,R31,R33,R8",R_0402_1005Metric,C25744
51k,"R2,R4,R5",R_0402_1005Metric,C25794
3k3,"R22,R24,R26,R28,R30,R32,R9",R_0402_1005Metric,C25890
5k1,"R6,R7",R_0402_1005Metric,C25905
UART,"J5,J6,J7",PinHeader_1x04_P2.54mm_Vertical,C2691448
EXP2,J9,TerminalBlock_DIBO_DB125-3.5-4P-GN-S_1x04_P3.50mm_Horizontal,C2757925
220u,"C10,C11,C17",CP_Elec_8x10,C278406
TPMP2359DJ,U1,SOT-23-6,C2959845
100n,"C21,C24,C3",C_0402_1005Metric,C307331
4u7,L1,L_Changjiang_FNR3012S,C528014
1u,C25,C_0402_1005Metric,C52923
ESP32-C6-MINI-1/U,U4,ESP32-C6-MINI-1,C5736265
22u,"C1,C12,C13,C14,C15,C16,C18,C2,C4,C5",C_0805_2012Metric,C6119901
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186
Y,"D20,D21,D22,D23,D24,D25,D3,D4",LED_0603_1608Metric,C72038
SRV05-4,"U2,U5",SOT-23-6-routable,C85364
WS2812,D7,LED_WS2812_2020,C965555
